id,provider_name,npi,specialty,address,city,state,zip,phone,status,effective_date
1010,Heather Whitehead,6472684746,Cardiology,550 Cohen Pike Apt. 101,Jessicaton,NC,72109,3872564505,active,2024-12-30
550,Jonathan Green,2789615738,Oncology,502 Dominique Pike Suite 211,Kathyfort,NY,13406,+1-622-742-5777x277,inactive,2026-05-12
507,Joshua Price,4200629877,Pediatrics,80177 Erica Burg,East Kenneth,HI,15153,(529)645-0269x44735,active,2026-05-12
864,Danny Owens,5614653442,Neurology,42186 Wright Stravenue,Port Miguelton,IA,43203,791-398-5056,pending,2026-05-12
904,Jason Cabrera,0404655112,Family Medicine,81105 Sharon Station Apt. 892,South Kimberlyport,TX,83919,343-891-0323,pending,2026-05-12
1001,William Stewart,6167946778,Cardiology,986 Jennifer Summit,Port Jeffreyshire,MD,81555,001-745-292-1185x723,inactive,2024-07-13
221,Benjamin Horton,8646225223,Neurology,81793 James Summit Apt. 346,Lake Danielle,VI,83919,(214)516-1415,inactive,2026-05-12
247,Jeff Nelson,1159503428,Psychiatry,393 Wilkerson Camp Apt. 544,Wilsontown,OK,74530,7976005140,pending,2026-05-12
1002,Daniel Freeman,6263896549,Dermatology,791 Spencer Roads Apt. 200,North Kristinaville,WA,33992,(386)769-0625,pending,2025-05-03
9,Natalie Moore,4935348740,Family Medicine,47598 Miguel Parkway,Evanmouth,OH,92994,984-660-3638x3968,pending,2026-05-12
1009,Lawrence Jones,4251956176,Orthopedics,8922 Heather Lake Apt. 858,Barnettchester,ID,01253,+1-922-382-9335x28789,active,2025-02-08
52,Stephen Thompson,0672400499,Pediatrics,4788 Small Dale,Nelsonville,MA,21799,727-753-4183,pending,2026-05-12
1008,Kevin Jacobs,9915482700,Oncology,331 Tina Lock,South Lisa,MT,03084,(913)968-8415,active,2024-07-11
362,Derek Lambert,3370096873,Orthopedics,9627 Barker Dam,West Donna,MN,95685,+1-782-955-6296,pending,2026-05-12
289,Samuel Ortiz,8545667664,Family Medicine,7350 West Forges,Conleyton,SC,14960,+1-395-229-8006x155,active,2026-05-12
1004,David Reynolds,5777734265,Psychiatry,0310 Fletcher Ramp Suite 914,South Ritaland,SC,90380,+1-828-906-1990x7466,inactive,2026-01-09
1006,Debra Barber,1261499363,Family Medicine,627 Foster Hills,Jeffreyton,OR,42229,595-866-3006,pending,2024-08-25
990,Alison Underwood,6944814400,Pediatrics,1395 Burns Islands,Port Michelle,DE,07174,001-764-607-9729x6822,active,2026-05-12
482,Justin Ritter,4669861634,Orthopedics,7953 Michelle Summit Suite 225,Williammouth,HI,52811,+1-225-959-6647x213,pending,2026-05-12
868,Stephanie Bruce,6870690571,Neurology,7069 Felicia Fall Suite 320,Laurenborough,OK,30599,001-930-654-8495x16570,active,2026-05-12
293,Cameron Smith,8123710672,Family Medicine,86604 Ryan Hill Suite 859,New Jeremy,FL,38537,939.258.9477x35228,pending,2026-05-12
1005,Christian Kirk,1712435668,Orthopedics,032 Sherman Loaf,Jenniferstad,MD,70233,567.635.0781x072,pending,2025-12-25
50,Jason Harris,8970283857,Psychiatry,2785 Lowe Ways Suite 973,South Amber,IN,39509,001-843-775-7584x41986,active,2026-05-12
1003,Ashley Camacho,0967108004,Family Medicine,724 Donna Orchard Suite 966,Janeberg,RI,39483,630.551.7197x25123,pending,2025-11-16
1007,Rebecca Brown,1640787048,Psychiatry,35373 Diaz Estate,Weeksburgh,WV,78580,298-967-7705x54899,active,2024-07-15
598,Patrick Hester,4612128981,Pediatrics,9485 John Avenue,East Ginachester,WA,92121,885.598.8192x06965,inactive,2026-05-12
670,Michael Mcdonald,2651732816,Cardiology,910 Perez River,Burchshire,OH,32769,+1-606-267-4772x0110,pending,2026-05-12
612,Rebecca Johnson,7344674621,Family Medicine,958 Santos Road Suite 491,Browntown,MA,02221,(621)381-6981,pending,2026-05-12
689,Stephen Lucero,9850450566,Neurology,5402 Santana Underpass,Jonesside,OR,22497,+1-238-343-7826,inactive,2026-05-12
469,Monica Wade,9131117861,Family Medicine,54760 Gary Burg,Cruzville,PW,31146,441-820-1227x59500,pending,2026-05-12
