id,first_name,last_name,effective_date,termination_date,primary_care_flag
1,Joshua,Walker,2025-08-21,,true
2,Patricia,Miller,2025-10-31,2026-03-10,true
3,Jeffery,Wagner,2025-03-15,,true
4,Debra,Gardner,2024-05-30,,true
5,Lisa,Smith,2024-10-19,2025-09-19,true
6,Matthew,Moore,2025-12-21,,true
7,Christopher,Davis,2026-04-10,,true
8,Lindsay,Blair,2026-01-20,,true
9,Nicholas,Arnold,2025-06-06,2026-05-02,true
10,Michelle,Ray,2026-01-07,2026-03-25,false
11,Jeremy,Roberts,2025-10-08,,true
12,Craig,Ramirez,2024-07-08,2024-12-11,false
13,Mitchell,Clark,2025-08-18,2025-11-23,true
14,Deborah,Lynch,2024-11-22,,false
15,Frank,Gray,2024-09-13,,true
16,Angela,Cohen,2026-05-04,2026-05-09,true
17,Jeremy,Johnson,2026-01-17,2026-04-16,false
18,Jason,Hahn,2024-12-27,2025-05-10,true
19,Diana,Foster,2026-02-10,2026-03-10,true
20,Joseph,Wright,2026-03-10,2026-04-07,true
21,Brenda,Hurst,2025-06-25,2025-09-17,false
22,Whitney,Hicks,2025-02-26,,true
23,Daniel,Burton,2024-07-16,,true
24,Bryan,James,2025-12-11,2026-02-13,true
25,Tasha,Valencia,2026-05-09,,true
26,Erin,Herrera,2024-05-19,2025-10-22,false
27,Daniel,Graham,2024-11-22,2025-10-31,false
28,Nancy,Baker,2025-04-07,,false
29,Rita,Harrell,2025-05-11,2025-07-15,true
30,Chelsea,Hernandez,2024-12-15,2025-11-07,true
31,Kimberly,Moreno,2025-11-19,,true
32,Andrew,Hickman,2024-05-11,,false
33,Kyle,Brown,2026-02-12,2026-04-27,false
34,Christopher,Tucker,2026-02-11,,false
35,Katie,Anderson,2024-06-30,,true
36,Joseph,Brennan,2025-04-23,,false
37,Amber,Blair,2025-03-16,2025-06-13,false
38,Wanda,Santos,2024-10-05,,true
39,David,Walker,2025-03-27,2025-10-25,true
40,Jerry,Robinson,2025-01-13,2025-10-24,false
41,Jeremy,Whitehead,2024-07-01,2025-09-03,true
42,John,Caldwell,2026-01-29,2026-02-05,true
43,Selena,Duncan,2024-10-14,,false
44,Lindsey,Lee,2025-04-21,2026-02-17,false
45,Rodney,Owens,2024-07-20,2025-04-30,true
46,Tracey,Garcia,2025-10-25,,false
47,Michelle,Wright,2025-03-01,,true
48,Robert,Ramirez,2024-09-27,,true
49,Scott,Callahan,2024-11-09,,false
50,Yvette,Huff,2025-06-17,,false
51,Melinda,Martin,2026-04-19,2026-05-10,false
52,Richard,Brown,2025-05-01,2025-07-20,true
53,Joseph,Bowers,2025-02-12,,false
54,Susan,Cowan,2025-04-08,2025-09-23,true
55,Eric,Phillips,2025-06-21,2026-02-09,false
56,Amy,Adkins,2026-04-19,,false
57,Wesley,Farrell,2024-06-21,,false
58,Christopher,Lopez,2024-09-03,,true
59,Joe,Wilson,2025-07-19,2026-02-04,true
60,Brooke,Harvey,2026-02-20,,false
61,Alexandra,Donovan,2025-03-13,,true
62,John,Foster,2024-10-07,2025-11-27,false
63,Leslie,Walton,2025-09-14,,true
64,Yolanda,Ferrell,2024-07-03,2025-05-09,false
65,Joseph,Mahoney,2024-07-03,,true
66,Mike,Moore,2026-02-13,,true
67,Cheryl,Archer,2026-01-10,,false
68,Lisa,Evans,2025-09-01,,true
69,Dennis,Wilson,2025-09-07,,false
70,Joseph,Jacobs,2024-07-28,,false
71,Cynthia,Baker,2025-10-17,2025-11-28,true
72,Meghan,Davis,2025-05-03,,false
73,Adam,Wise,2025-03-16,2025-07-10,false
74,Joyce,Arnold,2025-08-19,2025-10-27,false
75,Charles,Ware,2025-03-19,,true
76,Mary,Aguilar,2026-03-02,,true
77,Kyle,Nolan,2024-08-27,2024-11-14,true
78,Rachel,Clark,2025-12-13,,true
79,Kimberly,Henson,2024-11-09,,true
80,Eric,Spears,2025-03-04,,true
81,Lisa,Keith,2026-02-02,,true
82,Martin,Galvan,2024-05-29,2025-11-05,true
83,Lisa,Adams,2025-12-18,,false
84,Monica,Garrison,2025-12-07,2025-12-23,true
85,Steven,Torres,2024-10-20,,false
86,Andrew,Lee,2025-12-13,,false
87,Tammy,Ramirez,2025-01-05,2026-03-06,true
88,Tina,Herrera,2025-08-22,,true
89,Tara,White,2026-03-28,2026-04-02,false
90,Daniel,Hamilton,2026-04-14,2026-04-21,false
91,Catherine,Dixon,2025-10-25,2025-12-26,true
92,Jonathan,Fletcher,2025-02-16,,true
93,Amanda,Ball,2024-05-12,2026-03-18,false
94,Michael,Jones,2025-11-04,,true
95,Lee,Charles,2025-09-08,,true
96,Kyle,Ortiz,2025-10-19,2025-12-19,true
97,David,Fisher,2025-03-01,2025-07-08,true
98,Raven,Gilbert,2026-03-29,2026-04-27,false
99,Aaron,Mitchell,2024-12-16,,true
100,Diana,Marshall,2025-03-21,2025-11-17,true
101,Thomas,Santana,2025-03-30,,true
102,Christopher,Robertson,2025-12-13,,true
103,Loretta,Potter,2025-08-16,,false
104,James,Johnson,2025-09-14,2025-11-06,false
105,Melissa,Jones,2024-11-05,,false
106,James,Horton,2025-03-09,,true
107,Diana,Smith,2025-05-07,2025-08-05,true
108,Daniel,Coleman,2025-11-10,2026-03-30,false
109,April,Williams,2024-09-16,2026-04-16,false
110,Stephen,Solis,2024-11-09,2026-02-17,false
111,Caitlin,Dodson,2025-09-10,,true
112,Jennifer,Wagner,2026-02-21,2026-04-11,true
113,Phyllis,Manning,2026-01-08,,true
114,John,Walsh,2025-04-22,2025-07-30,true
115,Courtney,Hill,2025-11-21,,false
116,Joseph,Flores,2024-07-06,,true
117,Jesse,Benson,2025-06-09,,true
118,Rick,Daniels,2025-10-09,,true
119,Robert,Stein,2025-03-10,,false
120,Melissa,Cannon,2025-07-11,,true
121,Michael,Molina,2025-02-13,,true
122,Robert,Adkins,2026-01-24,2026-05-06,false
123,Jeffrey,Robinson,2025-06-14,2025-12-31,true
124,Matthew,Shelton,2025-03-25,2025-04-05,true
125,Tanner,Anderson,2025-03-02,2025-05-12,false
126,Phillip,Elliott,2025-08-08,,false
127,Derek,Murray,2024-05-30,2025-08-30,false
128,Jason,Murphy,2024-06-16,,true
129,Karen,Decker,2025-11-18,2026-01-23,true
130,Andrew,Ryan,2024-11-11,,true
131,Debra,Harrington,2026-05-11,2026-05-11,true
132,Stefanie,Gonzalez,2025-08-30,2026-03-10,true
133,David,Caldwell,2024-05-25,,false
134,Holly,Wang,2025-06-27,2025-09-04,true
135,Julie,Wilson,2024-09-10,2025-09-14,false
136,Daniel,Johnson,2025-12-30,,false
137,Susan,Sanders,2024-12-25,,true
138,Hannah,Burton,2025-10-15,2025-10-30,true
139,Melissa,Burke,2024-07-24,,true
140,Kimberly,Reed,2024-08-07,2026-05-01,false
141,William,Peterson,2025-03-20,,false
142,Daniel,Yu,2026-01-22,,false
143,Jasmine,Graham,2025-08-18,2026-03-27,false
144,Joseph,Morton,2025-10-29,,true
145,Ryan,Simon,2025-06-08,2025-11-18,false
146,Mariah,Miller,2024-11-23,,true
147,Steven,Bishop,2026-02-14,2026-03-07,true
148,Melissa,White,2025-02-12,2025-02-25,true
149,Matthew,Beard,2024-10-13,2026-01-15,false
150,Alejandro,Vaughan,2025-10-05,,true
151,Tracy,Chang,2024-07-12,,true
152,Travis,Mcguire,2025-09-27,,false
153,Heather,Torres,2024-07-18,,false
154,Alyssa,Coleman,2025-07-10,,true
155,Jacqueline,Nelson,2025-11-07,2026-01-07,false
156,James,Wilson,2024-11-10,,false
157,Jacob,Robinson,2025-06-06,,true
158,Tiffany,Warren,2025-04-29,,false
159,James,Perez,2024-12-03,2025-01-24,true
160,Amanda,Hill,2024-09-19,,true
161,Heidi,Martinez,2026-04-23,,false
162,Monique,Andrews,2026-02-04,,true
163,Jack,Williams,2025-04-19,2025-10-06,false
164,Lynn,Morales,2026-03-29,,false
165,Brian,Hernandez,2024-07-04,,true
166,Victoria,Wilson,2025-06-26,2025-10-01,true
167,Krystal,Perez,2025-11-20,2026-03-04,true
168,Scott,Dalton,2025-05-28,,false
169,Christine,Lynch,2026-05-04,2026-05-06,false
170,Jared,Clark,2025-11-03,,true
171,Glenn,Jones,2025-09-05,,true
172,Brittney,Carter,2024-05-12,2025-04-05,false
173,Jacqueline,Gibson,2024-10-27,2025-11-28,true
174,Kristin,Weber,2025-09-25,2026-04-24,false
175,Ronald,Stephens,2025-09-06,2026-04-25,false
176,Margaret,Jones,2025-08-27,,true
177,Kaitlyn,Carroll,2024-09-09,2025-03-15,true
178,Haley,Lyons,2024-12-07,2025-02-09,true
179,Troy,Miller,2026-03-31,,false
180,Marcus,Wright,2024-06-09,2025-04-08,false
181,Mary,Johnston,2024-07-16,2026-04-16,true
182,Emily,Adams,2026-04-06,2026-05-11,true
183,Thomas,Pearson,2024-06-09,2025-11-21,true
184,Brenda,Walters,2026-03-11,2026-03-22,true
185,Michael,Cook,2025-05-05,,false
186,Mark,Steele,2025-09-12,2026-04-07,true
187,Lisa,Pierce,2024-12-07,2026-04-13,false
188,Marcus,Cordova,2025-04-08,,false
189,Vanessa,Sandoval,2025-03-02,2025-10-12,false
190,Jacob,Cox,2025-06-11,2025-10-27,false
191,Kathleen,Harris,2025-11-14,2026-03-05,true
192,Samuel,Wolfe,2025-06-16,,false
193,Chelsea,Allen,2024-08-07,2026-04-24,true
194,Andrea,Davis,2024-09-03,2025-08-08,false
195,Steven,Wilson,2026-05-06,,false
196,Jennifer,Hicks,2026-01-09,2026-03-11,true
197,Tina,Sanchez,2024-11-26,2026-02-13,false
198,Sandra,Romero,2025-06-17,2025-10-21,false
199,Joshua,Tyler,2026-02-12,2026-04-29,true
200,William,Hoover,2025-03-10,2026-04-13,true
201,Brenda,Duarte,2024-12-03,,false
202,Amanda,Reed,2025-05-03,2025-06-27,true
203,Stanley,Morris,2025-06-18,,false
204,Ashley,Hall,2024-09-25,,true
205,Julie,Thornton,2025-11-28,,true
206,Elizabeth,Hoover,2025-12-25,,true
207,Benjamin,Shaw,2026-04-27,2026-05-04,true
208,Morgan,Alexander,2025-07-16,2026-04-02,false
209,Jennifer,Ortiz,2025-05-30,,false
210,Terrance,Costa,2025-09-01,2025-10-10,false
211,Debra,Christian,2025-01-13,,true
212,Norman,Stewart,2026-01-24,,true
213,Monique,Johnson,2025-10-18,2026-03-23,true
214,Samantha,Bright,2024-06-30,,false
215,Corey,Schultz,2025-11-07,,true
216,Heather,Berger,2026-02-07,,false
217,Kelly,Brooks,2024-06-13,,false
218,Ashlee,Sparks,2024-08-25,2025-07-22,false
219,Monica,Harvey,2024-09-12,2024-10-29,false
220,Douglas,Murray,2024-11-03,,false
221,Albert,Ballard,2024-11-12,2025-03-31,false
222,Eric,Alexander,2026-02-28,,false
223,Danielle,Coleman,2025-01-18,2025-10-26,true
224,James,Cruz,2024-11-09,2026-02-16,false
225,Ashley,Andrews,2025-04-29,,false
226,Tiffany,Barrett,2026-05-06,,false
227,Gina,Garner,2024-11-27,2025-09-23,false
228,Tyler,Strong,2024-06-15,,true
229,Catherine,Gomez,2024-12-06,,true
230,Erica,Le,2025-08-19,2026-01-31,true
231,Courtney,Berger,2025-09-04,,true
232,Scott,Riley,2025-08-26,2025-11-14,false
233,Kenneth,Burgess,2025-10-28,2025-11-14,false
234,Amber,Mata,2024-09-16,2024-12-04,true
235,Maria,Scott,2025-06-03,,false
236,Lindsay,Francis,2026-01-03,2026-03-06,true
237,Sydney,Taylor,2025-01-13,2025-03-09,false
238,Jennifer,Whitney,2026-04-17,,false
239,Michael,Gibbs,2026-04-18,2026-05-07,false
240,Shawn,Chambers,2024-05-21,2025-06-11,true
241,Lynn,Bentley,2025-09-14,2026-02-01,true
242,Angel,Henson,2024-07-29,2024-12-28,false
243,Jeffrey,Brown,2025-06-25,2026-04-14,true
244,Kevin,Ortiz,2026-01-03,2026-04-30,false
245,Kevin,Vasquez,2024-08-21,2026-04-08,true
246,Derek,Chavez,2024-07-21,2026-02-26,true
247,Sonya,Barnes,2025-09-13,,false
248,Robert,Garcia,2025-11-04,,true
249,Stephanie,Johnson,2025-05-03,2025-10-02,true
250,Stephanie,Foley,2025-02-05,2025-08-28,true
251,Amy,Levine,2024-07-22,,false
252,James,Martinez,2025-01-28,2025-08-02,false
253,Elizabeth,May,2026-01-20,,false
254,Kristin,Sanchez,2025-07-21,2025-07-27,false
255,Casey,Hubbard,2024-08-11,2025-08-06,false
256,Molly,Murphy,2024-10-09,2025-02-11,false
257,Aaron,Garrison,2024-08-26,,false
258,John,Thompson,2024-08-24,,true
259,Alexis,Tyler,2025-09-06,2025-09-12,true
260,Grant,Williams,2024-10-31,,true
261,Julie,Alvarez,2025-11-04,,true
262,Daniel,Gordon,2025-11-30,,true
263,Krista,Camacho,2026-04-02,,true
264,Tamara,Brown,2025-05-27,,false
265,Gina,Henry,2025-04-26,,true
266,Christopher,Franklin,2026-03-06,2026-03-10,false
267,Cynthia,Kelley,2024-06-28,2025-01-01,true
268,Alyssa,Chavez,2025-01-03,,true
269,Jacqueline,Farrell,2025-07-27,2025-08-24,true
270,Jennifer,Lewis,2025-08-29,,false
271,Matthew,Chavez,2025-04-06,2025-07-06,false
272,Ronald,Ortega,2025-03-11,,true
273,Sandra,Jones,2025-02-08,,true
274,Colin,Rodgers,2026-01-09,2026-01-20,true
275,Brenda,Hoffman,2025-12-25,,false
276,Michael,Ortega,2025-01-06,2025-03-07,false
277,Jennifer,Schmitt,2025-11-10,,false
278,Becky,Lewis,2025-07-23,,false
279,Daniel,Bruce,2025-09-03,2025-10-29,true
280,Audrey,Aguirre,2025-02-03,2026-01-22,false
281,Loretta,Austin,2026-01-18,2026-05-09,true
282,Sarah,Gallegos,2025-08-23,2025-08-29,true
283,Jacqueline,Parker,2024-11-22,2025-02-26,false
284,Molly,Knight,2025-01-14,2025-01-16,false
285,Cynthia,Johnson,2025-02-27,2025-04-30,false
286,Robert,Peterson,2025-11-07,,true
287,Kimberly,Bradley,2025-02-05,2026-01-03,false
288,Eric,Williamson,2024-07-12,,false
289,Ebony,Tucker,2025-09-15,2025-11-19,false
290,Kari,Wilson,2025-03-30,,false
291,Erika,Tucker,2025-03-21,2025-07-17,true
292,Randall,Greene,2025-09-10,2025-09-21,true
293,Jason,Taylor,2024-05-16,2024-12-20,false
294,Adrian,Burgess,2024-11-13,2025-05-10,false
295,Jane,Mason,2024-09-16,2025-05-03,true
296,Charles,Hensley,2026-01-10,,true
297,Samantha,Atkins,2024-06-10,,false
298,Jenna,Butler,2025-07-05,2025-12-30,true
299,Mark,Solis,2024-08-03,2024-08-16,false
300,Samantha,Davis,2025-08-05,2026-03-25,true
301,Brianna,Warren,2026-01-18,,false
302,Matthew,Cook,2025-02-24,,false
303,Daniel,Hicks,2024-09-10,,false
304,Jessica,Fuentes,2026-03-04,2026-03-28,false
305,Dwayne,Gonzalez,2025-12-27,2026-01-28,false
306,Diana,Thompson,2025-07-25,2026-03-03,false
