id,provider_name,npi,specialty,address,city,state,zip,phone,status,effective_date
1,Allison Hill,3218196001,Cardiology,89083 Robinson Radial,Lisatown,WV,21427,001-765-642-3511x615,active,2025-12-22
2,Kimberly Dudley,6184959310,Dermatology,1316 Chavez Village,Franciscostad,IL,88342,719-228-3276x483,active,2024-10-25
3,Ethan Adams,3953767242,Orthopedics,884 Hurst Locks,Jeffreyberg,NY,65187,801-922-6916,active,2025-06-01
4,Shannon Smith,1845146270,Cardiology,281 Skinner Parkways Apt. 252,New Mariotown,DE,48077,430-639-1171x8227,pending,2025-05-31
5,Tracey Hickman,3465787133,Cardiology,0983 Adrian Station,East Carloston,VI,43810,983-547-3829,pending,2025-12-05
6,Cheryl Davis,6566701065,Oncology,33872 White Mountain,Port Sandra,NV,72633,908-501-3267,active,2026-02-02
7,Carmen Smith,6474687234,Family Medicine,98050 Breanna Parkway,North Susan,CO,24857,291-336-1939,active,2025-03-13
8,Kelly Donovan,3534624751,Orthopedics,9911 William Curve,Nicolebury,MN,37854,(378)449-8084,active,2024-11-20
9,Natalie Moore,4935348740,Family Medicine,640 Matthew Curve,Evanmouth,OH,92994,(280)611-2805x98262,pending,2025-02-01
10,Valerie Williams,5331586923,Orthopedics,60256 Joseph Turnpike,South Monicafort,IN,26659,754.833.0365x414,pending,2025-09-19
11,Erin Johnson,4294019655,Oncology,816 Jonathan Station Suite 088,West Ryan,TN,43780,+1-551-848-4656x482,active,2025-09-09
12,Paul Thompson,9468044369,Psychiatry,7738 Leon Underpass Apt. 148,Clarencebury,TX,41188,932.800.3791,pending,2026-02-17
13,Michelle Cruz,6320163287,Dermatology,317 Laurie Shores,Stephaniemouth,RI,94777,968.372.7743x48734,active,2025-10-14
14,George Orozco,1223623166,Pediatrics,760 Marissa Loaf Apt. 967,West Kennethfurt,PR,55422,+1-289-837-3467,pending,2025-01-11
15,Jennifer Martin,7298069901,Oncology,72046 Lewis Islands Suite 646,Maryfort,AK,98677,+1-205-431-0033,inactive,2024-11-01
16,Brian Gould,7452991241,Dermatology,9663 Brittany Village,North Heidi,ME,90188,+1-819-905-8651x850,active,2024-07-27
17,Madison Poole,2628498776,Orthopedics,3147 Karen Port Suite 507,Hunterborough,MI,34363,949-948-0831x36783,inactive,2025-04-03
18,Edward Sullivan,3495788568,Cardiology,7444 David Fields Suite 182,East Joanna,KY,95473,001-489-641-3435,active,2024-05-21
19,Denise Mccann,8427109477,Oncology,2047 Lynn Locks Suite 190,East Lisa,ME,11665,818.969.9938,active,2026-03-06
20,Kevin Patterson,9909133412,Neurology,81206 Norris Mountains,Antonioport,VT,37557,001-671-434-9361x832,inactive,2024-07-02
21,Eric Curry,9471746488,Dermatology,1906 Munoz Burg Apt. 399,Port Emilyview,OK,05774,001-727-787-4296x71756,active,2025-09-12
22,Erin Steele,4680715451,Psychiatry,087 Brown Path Suite 977,East Josephberg,LA,57925,001-371-509-3248x086,pending,2026-05-06
23,Julia Wilson,2748467737,Cardiology,3982 Joshua Turnpike,Morganhaven,KY,00837,849-997-2787x5588,inactive,2026-03-23
24,Veronica Allen,6360576627,Cardiology,89517 Alicia Motorway,Lake Douglasberg,CA,62038,359-561-5865x780,pending,2025-08-15
25,Yolanda Francis,6117240050,Dermatology,5623 Knight Turnpike Apt. 221,Harveybury,NM,76936,(437)347-4074,pending,2025-03-29
26,Kevin Fowler,6474367136,Neurology,440 Hill Port Apt. 974,New Laurie,IN,83943,794.421.0470,pending,2024-07-15
27,Paul Thompson,2858842474,Orthopedics,71236 Davis Locks Apt. 481,Richardsonview,OR,50442,+1-651-837-0985x9317,pending,2024-08-04
28,Andrew Ferrell,1138267586,Cardiology,1796 Johnson Land,South Sean,IA,48038,958-350-6431,active,2025-09-07
29,Linda Smith,5329318393,Orthopedics,2904 Vanessa Plains,Laurenville,TN,03880,(205)439-5024,inactive,2025-11-04
30,Nichole Alvarez,5891783908,Cardiology,0076 Parks Overpass Suite 115,North David,RI,83479,001-885-369-8478,active,2025-12-11
31,Matthew Rich,8367365766,Cardiology,6545 Gloria Mountains,North Marieland,NE,13157,001-252-680-9885x1656,inactive,2025-07-23
32,Kenneth Lewis,7315851493,Dermatology,998 Chelsea Shoals Suite 024,Sandrastad,AL,24278,(896)812-0183,inactive,2025-04-07
33,Eric Nguyen,9910229014,Neurology,679 Perry Forge Apt. 561,Erikashire,NM,69567,+1-740-336-9003x43244,active,2024-05-16
34,Casey James,3885160607,Neurology,9696 Roberts Lodge,West Georgemouth,MP,90889,(716)513-6968x164,inactive,2025-01-09
35,Jordan Wilson,8355231243,Orthopedics,212 Marshall Port,Maldonadoshire,SD,83770,+1-755-327-1774x490,pending,2024-12-23
36,Anthony Decker,1199867980,Dermatology,359 Mason Circle Suite 151,North John,NV,58096,789.325.5466x59051,pending,2025-06-22
37,David York,9251925462,Cardiology,8652 Debbie Manors,Andrewport,HI,28575,473-832-2141x88805,pending,2024-08-31
38,Michael Weber,2706537947,Pediatrics,347 Micheal Ports,Murrayport,WI,50553,386.623.9240x75818,pending,2024-07-11
39,Jerry Palmer,6137506068,Orthopedics,61530 Galvan Villages Suite 220,Samanthafort,UT,18692,001-377-690-1043x28986,active,2024-10-31
40,David Fowler,9711798089,Psychiatry,246 Christina Garden,Lopezland,NC,47766,288-888-8067,inactive,2026-04-28
41,Alan Kramer,5319520585,Dermatology,772 Bryan Trail,Johnsonborough,AZ,26645,5546868740,pending,2025-01-26
42,Sharon Rivera,1566765277,Orthopedics,416 Ryan View Apt. 845,North Markport,ME,58948,+1-362-875-7059x640,pending,2025-01-31
43,Meghan Cisneros,2970213556,Neurology,275 Wallace Club,New Michael,MD,85640,931-502-7868x144,active,2026-05-09
44,Thomas Henry,1217271551,Orthopedics,2258 David Flats Apt. 370,Angelastad,NH,72806,(891)314-6786,active,2024-08-10
45,Benjamin Owens,8528922680,Neurology,242 Marcus Station,West Stacey,NC,37731,343-484-2498,inactive,2025-07-17
46,Carolyn Weber,9590010943,Dermatology,078 May Hollow Suite 364,Joneston,GA,58120,(377)735-9255x56258,active,2024-11-03
47,Jerry Thomas,0469632595,Orthopedics,78774 Johnson Lock,Levyborough,OR,46755,3048797480,pending,2024-08-16
48,Jacob Powell,0609835841,Neurology,784 David Court Suite 558,Kariborough,PA,67232,(480)700-2578x7298,active,2026-03-22
49,James Jensen,4958887947,Psychiatry,5169 Robles Stream,New Thomasshire,OK,30325,001-509-272-8962x3091,inactive,2025-03-29
50,Jason Harris,8970283857,Psychiatry,2785 Lowe Ways Suite 973,West Angela,IN,39509,001-843-775-7584x41986,active,2026-04-08
51,Donna Roberts,1574733848,Dermatology,19933 Elizabeth Pines Apt. 301,Riverafort,CT,89786,001-520-282-6773x45401,active,2026-03-09
52,Stephen Thompson,0672400499,Orthopedics,4788 Small Dale,Nelsonville,MA,21799,001-774-320-5493x2966,pending,2025-02-28
53,William Woods,3046374549,Dermatology,5301 Parker Lodge,Hannahport,MN,81061,932.572.7956,pending,2025-11-18
54,Linda Cobb,8785191088,Oncology,822 Bond Mills,Lake Jamieshire,NM,12420,870.672.8679x08740,pending,2025-12-28
55,Laura Williams,5180170462,Oncology,656 Kane Lane,Millerside,DC,86161,(812)886-8230x047,inactive,2026-01-02
56,Gregory Hill,1069033119,Orthopedics,9030 Gonzales Plains,Port Michelle,AR,18868,643.695.9953x42836,active,2024-06-24
57,Sheryl Buck,6870568566,Psychiatry,6287 Melissa Hills,Port Steven,AR,74214,(568)282-6343x51751,active,2024-11-23
58,Lindsey Russo,3983735403,Family Medicine,173 Randy Garden,Kimberlyfurt,NH,70447,+1-754-845-8771x7535,active,2024-06-13
59,Natalie Smith,8996423536,Pediatrics,8547 Murray Street,Garyside,NM,24624,+1-508-301-0062,pending,2025-10-09
60,Jonathan Brooks,9977008860,Pediatrics,484 Wayne Square,Drakeburgh,CT,13125,523.539.8454x61567,pending,2024-12-16
61,Angela Frey,0166687002,Oncology,6591 Jerry Ways,Nelsonland,TX,37250,+1-890-325-0392,pending,2024-12-15
62,Lacey Atkinson,8562185016,Cardiology,59996 Johnson Groves,Henrystad,OH,49708,(829)761-9431x14262,inactive,2025-01-29
